2026-05-31 02:37:04,595 WARNING __main__ no LLM provider configured (GITHUB_TOKEN not set); LLM-driven ticks will error
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO __main__ scheduler starting (broker=sandbox)
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_mtm" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_day_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_long_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_coord_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_tick_poll" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Scheduler started
2026-05-31 02:38:59,600 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:04 CDT)" executed successfully
2026-05-31 02:39:04,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_mtm (trigger: interval[0:01:00], next run at: 2026-05-31 02:40:04 CDT)" (scheduled at 2026-05-31 02:39:04.596931-05:00)
2026-05-31 02:39:04,604 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:09 CDT)" (scheduled at 2026-05-31 02:39:04.597247-05:00)
2026-05-31 02:39:04,614 INFO apscheduler.executors.default Job "SchedulerRunner.job_mtm (trigger: interval[0:01:00], next run at: 2026-05-31 02:40:04 CDT)" executed successfully
2026-05-31 02:39:04,615 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:09 CDT)" executed successfully
2026-05-31 02:39:09,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:14 CDT)" (scheduled at 2026-05-31 02:39:09.597247-05:00)
2026-05-31 02:39:09,605 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:14 CDT)" executed successfully
2026-05-31 02:39:14,598 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:19 CDT)" (scheduled at 2026-05-31 02:39:14.597247-05:00)
2026-05-31 02:39:14,598 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:19 CDT)" executed successfully
2026-05-31 02:39:19,599 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:24 CDT)" (scheduled at 2026-05-31 02:39:19.597247-05:00)
2026-05-31 02:39:19,600 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:24 CDT)" executed successfully
2026-05-31 02:39:24,607 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:29 CDT)" (scheduled at 2026-05-31 02:39:24.597247-05:00)
2026-05-31 02:39:24,607 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:29 CDT)" executed successfully
2026-05-31 02:39:29,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:34 CDT)" (scheduled at 2026-05-31 02:39:29.597247-05:00)
2026-05-31 02:39:29,604 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:39:34 CDT)" executed successfully
